API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Apr  5 18:55:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459645.500000000, A.D. 2022-Mar-07 00:00:00.0000,  3.258556681560459E-02, -4.586703997464092E-01, -4.047092142570825E-02,  2.242081872313511E-02,  3.438036064801151E-03, -1.775642086809699E-03,
2459646.500000000, A.D. 2022-Mar-08 00:00:00.0000,  5.494589002424853E-02, -4.545416893764411E-01, -4.218457336331134E-02,  2.228828887438566E-02,  4.820023227514973E-03, -1.650551183154194E-03,
2459647.500000000, A.D. 2022-Mar-09 00:00:00.0000,  7.713881481826976E-02, -4.490293781498712E-01, -4.376980413275688E-02,  2.208576363364150E-02,  6.204930855677431E-03, -1.518801142513971E-03,
2459648.500000000, A.D. 2022-Mar-10 00:00:00.0000,  9.909354018830208E-02, -4.421314928232328E-01, -4.521995810645388E-02,  2.181160089382110E-02,  7.590836922120823E-03, -1.380398405932119E-03,
2459649.500000000, A.D. 2022-Mar-11 00:00:00.0000,  1.207375302975435E-01, -4.338480707303404E-01, -4.652838482915390E-02,  2.146397305750817E-02,  8.975636389111769E-03, -1.235347355485675E-03,
2459650.500000000, A.D. 2022-Mar-12 00:00:00.0000,  1.419963291380119E-01, -4.241813610979215E-01, -4.768843846830354E-02,  2.104086764455569E-02,  1.035700400747409E-02, -1.083653410039243E-03,
2459651.500000000, A.D. 2022-Mar-13 00:00:00.0000,  1.627933768399775E-01, -4.131360654185159E-01, -4.869348060776039E-02,  2.054009009838009E-02,  1.173235331839984E-02, -9.253266329899832E-04,
2459652.500000000, A.D. 2022-Mar-14 00:00:00.0000,  1.830498301837074E-01, -4.007196209327624E-01, -4.953688694983095E-02,  1.995926952075647E-02,  1.309879134761319E-02, -7.603859606511848E-04,
2459653.500000000, A.D. 2022-Mar-15 00:00:00.0000,  2.026843906850846E-01, -3.869425317828063E-01, -5.021205860767381E-02,  1.929586825621890E-02,  1.445306848616118E-02, -5.888641770916928E-04,
2459654.500000000, A.D. 2022-Mar-16 00:00:00.0000,  2.216131446595762E-01, -3.718187528924761E-01, -5.071243880521821E-02,  1.854719647785054E-02,  1.579152308059764E-02, -4.108137800797537E-04,
2459655.500000000, A.D. 2022-Mar-17 00:00:00.0000,  2.397494209548312E-01, -3.553661320785004E-01, -5.103153595635335E-02,  1.771043320235926E-02,  1.711002031974940E-02, -2.263139028418308E-04,
2459656.500000000, A.D. 2022-Mar-18 00:00:00.0000,  2.570036736291562E-01, -3.376069162566842E-01, -5.116295427009994E-02,  1.678265548934972E-02,  1.840388512190468E-02, -3.547847681067635E-05,
2459657.500000000, A.D. 2022-Mar-19 00:00:00.0000,  2.732833987942744E-01, -3.185683278150734E-01, -5.110043322353768E-02,  1.576087796151225E-02,  1.966782891682951E-02,  1.615341600139365E-04,
2459658.500000000, A.D. 2022-Mar-20 00:00:00.0000,  2.884930971915974E-01, -2.982832171952106E-01, -5.083789745737105E-02,  1.464210521969614E-02,  2.089587050985630E-02,  3.645099882914018E-04,
2459659.500000000, A.D. 2022-Mar-21 00:00:00.0000,  3.025342968852308E-01, -2.767907973329330E-01, -5.036951887528886E-02,  1.342340021441994E-02,  2.208125164670602E-02,  5.731661358835006E-04,
2459660.500000000, A.D. 2022-Mar-22 00:00:00.0000,  3.153056537761381E-01, -2.541374647013012E-01, -4.968979295864798E-02,  1.210197215873389E-02,  2.321634851301115E-02,  7.871355817203758E-04,
2459661.500000000, A.D. 2022-Mar-23 00:00:00.0000,  3.267031514929198E-01, -2.303777100597436E-01, -4.879363152735568E-02,  1.067528809721303E-02,  2.429258125639143E-02,  1.005949528170781E-03,
2459662.500000000, A.D. 2022-Mar-24 00:00:00.0000,  3.366204265786368E-01, -2.055751193758240E-01, -4.767647436257126E-02,  9.141212731031989E-03,  2.530032477443481E-02,  1.229017285021239E-03,
2459663.500000000, A.D. 2022-Mar-25 00:00:00.0000,  3.449492496871183E-01, -1.798034614138547E-01, -4.633442222198340E-02,  7.498181457063748E-03,  2.622882553682217E-02,  1.455603599943228E-03,
2459664.500000000, A.D. 2022-Mar-26 00:00:00.0000,  3.515801985405328E-01, -1.531478527754438E-01, -4.476439377402694E-02,  5.745411684480388E-03,  2.706613116869457E-02,  1.684803520722915E-03,
2459665.500000000, A.D. 2022-Mar-27 00:00:00.0000,  3.564035633449394E-01, -1.257059832712898E-01, -4.296430878493354E-02,  3.883157164557859E-03,  2.779904196200127E-02,  1.915515103958696E-03,
2459666.500000000, A.D. 2022-Mar-28 00:00:00.0000,  3.593105296606018E-01, -9.758937391313781E-02, -4.093329942150758E-02,  1.913009059893531E-03,  2.841309640673421E-02,  2.146410616570720E-03,
2459667.500000000, A.D. 2022-Mar-29 00:00:00.0000,  3.601946865421683E-01, -6.892462608292516E-02, -3.867195066887771E-02, -1.617545347383294E-04,  2.889260617019480E-02,  2.375907333836942E-03,
2459668.500000000, A.D. 2022-Mar-30 00:00:00.0000,  3.589539079051682E-01, -3.985460324124968E-02, -3.618256947029214E-02, -2.335772317406497E-03,  2.922075949357607E-02,  2.602139639812507E-03,
2459669.500000000, A.D. 2022-Mar-31 00:00:00.0000,  3.554926509302742E-01, -1.053946585732691E-02, -3.346948012587431E-02, -4.601163682197810E-03,  2.937981531597613E-02,  2.822934889167285E-03,
2459670.500000000, A.D. 2022-Apr-01 00:00:00.0000,  3.497247048550253E-01,  1.884254340809514E-02, -3.053934059492031E-02, -6.947067189046399E-03,  2.935141289655725E-02,  3.035796374488853E-03,
2459671.500000000, A.D. 2022-Apr-02 00:00:00.0000,  3.415764043653095E-01,  4.809469249684482E-02, -2.740147052657058E-02, -9.359177899456490E-03,  2.911702226596506E-02,  3.237897697974694E-03,
2459672.500000000, A.D. 2022-Apr-03 00:00:00.0000,  3.309902915572436E-01,  7.700188326507847E-02, -2.406817708307588E-02, -1.181932010855048E-02,  2.865855811810459E-02,  3.426093746088813E-03,
2459673.500000000, A.D. 2022-Apr-04 00:00:00.0000,  3.179291670959866E-01,  1.053314771191328E-01, -2.055505906967754E-02, -1.430510577776809E-02,  2.795917209448922E-02,  3.596954103318377E-03,
2459674.500000000, A.D. 2022-Apr-05 00:00:00.0000,  3.023804139827596E-01,  1.328350032094161E-01, -1.688126394826200E-02, -1.678974255768655E-02,  2.700422413609135E-02,  3.746824820563697E-03,
2459675.500000000, A.D. 2022-Apr-06 00:00:00.0000,  2.843604078033114E-01,  1.592509197193404E-01, -1.306966672586954E-02, -1.924206575671618E-02,  2.578241148316926E-02,  3.871923608199258E-03,
2459676.500000000, A.D. 2022-Apr-07 00:00:00.0000,  2.639187505658522E-01,  1.843085630300380E-01, -9.146935589667999E-03, -2.162687182562123E-02,  2.428700403948914E-02,  3.968471378212744E-03,
2459677.500000000, A.D. 2022-Apr-08 00:00:00.0000,  2.411419909051042E-01,  2.077333508472240E-01, -5.143447955454266E-03, -2.390562202282591E-02,  2.251709940401114E-02,  4.032859349061913E-03,
2459678.500000000, A.D. 2022-Apr-09 00:00:00.0000,  2.161564359784292E-01,  2.292532005184350E-01, -1.093023895866536E-03, -2.603755945128332E-02,  2.047877509253451E-02,  4.061845666272494E-03,
2459679.500000000, A.D. 2022-Apr-10 00:00:00.0000,  1.891296377489931E-01,  2.486059862876460E-01,  2.967546926558178E-03, -2.798123843367605E-02,  1.818598761187197E-02,  4.052769158588747E-03,
